mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-404.20218,-149.91003,-54.307625,106.87912,-29.373768,-9.828597,-28.26346,52.893,-20.702772,4.447462,-15.63752,18.073107,4.0513234,0
-522.8916,25.097412,-148.27812,33.028828,85.97576,0.1867143,-29.449469,26.143269,8.004336,2.574433,17.344145,-6.199851,-7.858508,0
-568.848,5.136869,-193.78229,-3.9690173,121.627754,7.270237,-32.34532,-0.7810241,-24.902393,-0.2966214,46.512817,7.346765,-26.277052,0
-500.08054,9.947432,-227.61473,-1.4410858,141.63034,9.356883,-30.016768,-0.088566676,-32.281685,4.1545806,55.766674,6.218468,-24.042368,0
-586.64734,-210.17433,-35.12368,130.22076,-37.653095,-18.258736,-5.869837,58.769012,-28.233442,-2.617339,-3.360746,42.28637,-21.74382,0
-652.5885,-31.567194,-228.50984,72.90783,135.97145,-48.19564,-13.503599,-10.572842,-7.1056747,49.55229,17.233871,-39.773407,9.509205,0
-490.77164,-26.090494,-211.91042,71.84901,120.50072,-42.90475,-23.689629,-3.154572,-6.9457245,48.044804,10.7234125,-35.618484,4.465273,0
-809.7356,-53.210106,-205.25786,49.68191,152.81729,-57.354237,-15.790808,-13.688237,3.4100442,38.264763,21.92431,-41.59486,10.444451,0
-769.74866,-39.640915,-197.53839,50.486855,134.71313,-56.164272,-18.506489,-15.362973,1.9729809,34.087685,17.16984,-41.29388,4.7416196,0
-671.20874,-107.71002,-182.17009,100.85572,50.044994,12.107435,-47.70251,-26.666409,39.125126,2.20037,25.37457,-36.426765,2.9377902,0
-847.0378,-67.47342,-148.96063,88.54822,105.691536,-97.69559,4.9371653,16.019674,17.461779,16.370922,-15.002858,-26.270182,46.98094,0
-714.7755,-6.333828,-140.58978,53.776615,68.17269,-41.234825,19.788208,9.450165,10.363535,13.848734,-1.2573026,-10.74742,33.41996,0
-564.69586,-37.87468,-216.35556,88.901215,120.47528,-76.10167,-32.479534,20.859215,-6.410186,30.493263,1.0845945,-42.46134,15.448244,0
-493.14856,-129.85161,-48.922398,140.40514,-85.32369,10.41872,8.268851,25.538294,-18.460716,-14.390466,38.116558,-15.349769,1.6400094,0
-431.94388,36.068695,-31.583488,0.9602452,-19.444365,11.975841,4.687121,13.49577,-3.326633,8.09482,1.5211447,4.7842927,3.808485,1
-401.7344,13.155566,-26.956436,13.454771,-26.597141,21.345108,6.008074,16.257557,-1.8858742,12.118013,3.862849,5.4718637,5.651785,1
-403.5785,47.61623,-21.068403,15.987571,-17.631975,23.818457,6.182507,18.329737,1.6837063,10.708489,4.6598973,11.888657,-0.80568844,1
-405.80997,49.99066,-36.759567,18.805468,-17.117884,19.196873,7.8054843,20.311512,-1.3039324,5.4970737,2.9779987,10.828297,0.40739307,1
-406.306,69.99789,-17.72615,4.9245377,-6.9596715,22.710155,9.417692,18.187943,2.135918,7.363986,3.1174767,7.5706506,2.209326,1
-424.28433,58.68402,-36.1444,-10.635234,-19.40041,14.981319,-2.221493,12.121154,-4.964124,8.970571,7.309846,8.538011,-4.1013246,1
-406.67822,41.20425,-33.33262,-5.3639145,-13.919623,12.871029,3.2373776,12.936597,-4.1144967,7.8803134,4.586422,5.3721695,-0.09123883,1
