PC1,PC2,PC3,Class,Original_Label
8.302216,15.489831,2.6680455,Click,1
21.290844,-24.599613,-6.6900773,Click,1
46.529293,3.9704635,-18.288694,Click,1
-7.642769,69.036644,9.51916,Click,1
29.687021,18.656221,-10.297417,Click,1
33.159973,6.3515205,-23.673258,Click,1
13.016481,26.992512,-13.201134,Click,1
41.5676,-22.161379,-5.5154276,Click,1
30.838427,-6.4426007,-1.1913921,Click,1
46.059834,-6.292529,8.36353,Click,1
48.692764,2.8986542,2.0808682,Click,1
37.006813,-2.5804405,8.457225,Click,1
54.351776,1.5239046,-17.288525,Click,1
42.483997,-4.9787273,20.719238,Click,1
25.958626,-0.84597373,-8.422258,Click,1
22.53693,-31.616892,5.0284076,Click,1
22.314772,-20.99508,-16.971727,Click,1
50.10524,4.3910313,13.551756,Click,1
51.298447,11.3708315,8.293048,Click,1
-5.4897156,2.427863,-14.863396,Click,1
31.077435,3.3440268,31.27555,Click,1
50.51638,10.093038,-7.111484,Click,1
39.47526,-15.576127,4.0383873,Click,1
23.391315,-7.7492285,3.5970201,Click,1
49.207798,-8.518079,-2.632235,Click,1
-1.0521164,8.580586,-17.312895,Click,1
50.664577,-6.48546,9.29162,Click,1
39.37835,-10.259314,24.654976,Click,1
32.653294,-43.508556,13.616554,Click,1
11.369936,-20.677507,-12.739963,Click,1
24.15458,11.223097,36.00969,Click,1
46.890495,-8.533894,12.368098,Click,1
17.352757,8.698242,-13.789555,Click,1
33.432396,-14.630069,16.118212,Click,1
41.216225,-18.750639,-7.538373,Click,1
35.511604,5.0591316,0.49712086,Click,1
8.204624,-25.986792,-5.491182,Click,1
44.912083,-10.584646,-21.500828,Click,1
48.976395,9.43837,12.275328,Click,1
39.889812,-2.2087855,8.067804,Click,1
22.109768,-7.0514727,-2.9271402,Click,1
27.984509,10.549787,-6.52845,Click,1
38.111645,2.807192,13.294561,Click,1
42.005573,-16.808273,-9.481518,Click,1
50.091038,-18.362955,-4.5799046,Click,1
58.38819,5.5283604,-5.2454634,Click,1
53.248924,2.40404,10.642463,Click,1
54.49354,-14.600208,-13.542701,Click,1
52.175594,-16.219421,-4.359933,Click,1
51.71371,-17.090172,1.0206409,Click,1
59.65596,-12.4563,-0.9408281,Click,1
61.816917,-8.168941,-9.836565,Click,1
61.83288,-6.2694335,-1.0225554,Click,1
32.488773,-9.395583,-16.345663,Click,1
33.88258,-14.011369,9.142726,Click,1
39.379387,-4.729893,1.4118199,Click,1
41.299637,-1.8017784,-0.73364824,Click,1
39.116295,-8.336169,-6.0363736,Click,1
44.880463,-1.6866224,-0.73750347,Click,1
27.960842,2.5016344,-7.5134354,Click,1
35.82836,16.217846,12.017518,Click,1
-20.96154,58.007244,24.577011,Click,1
21.95913,18.855717,-1.638834,Click,1
36.35202,-13.200613,8.757023,Click,1
28.080091,-0.86043787,-1.8046744,Click,1
17.24419,-0.7651899,2.438295,Click,1
50.022797,-4.6206875,-9.815391,Click,1
42.716553,-5.3580084,4.1856275,Click,1
4.178112,42.54579,3.079712,Click,1
48.19786,5.864538,9.966923,Click,1
-10.570419,25.57902,16.640358,Click,1
40.172005,14.972306,-8.555767,Click,1
37.963024,-7.7198143,6.0454884,Click,1
30.964453,1.7159817,-7.022576,Click,1
27.517496,-7.776129,3.9949155,Click,1
27.15561,18.95492,30.946453,Click,1
-11.594681,69.61479,8.142731,Click,1
6.7221527,-62.33376,10.455652,Click,1
15.870766,-30.263697,-23.224632,Click,1
33.708744,-31.152367,1.4735665,Click,1
-9.791107,-70.09889,-25.129953,Click,1
33.014404,2.1820133,12.66387,Click,1
-38.17005,-38.28466,-32.4129,Click,1
-26.020367,58.931065,23.908804,Click,1
28.47814,5.288205,9.624097,Click,1
13.9783745,12.646232,-13.35782,Click,1
-11.879803,-5.2835445,-3.3037252,Click,1
25.277857,29.930563,3.8186212,Click,1
-41.463463,2.766452,-36.609474,Click,1
15.8011055,-12.590108,-4.3184547,Click,1
9.096636,12.521296,-9.862323,Click,1
13.678417,-9.286719,-1.1735644,Click,1
8.860456,8.669076,6.5430956,Click,1
35.56809,-18.140984,-7.87511,Click,1
57.925034,-4.8391194,-2.2907002,Click,1
3.7043514,8.508808,-14.132763,Click,1
16.799652,1.9594915,28.271076,Click,1
-16.798744,61.366703,13.290644,Click,1
49.595078,-14.298211,2.0309677,Click,1
52.62957,6.9849777,6.4018745,Click,1
31.096636,9.527056,25.661896,Click,1
40.193466,-6.7483196,-27.56354,Click,1
48.639816,-2.1703405,8.485726,Click,1
30.490753,22.758957,-7.0908794,Click,1
