UMAP1,UMAP2,UMAP3,Class,Original_Label
-2.7749677,-1.866661,4.1845493,Whistle,0
3.4406834,9.453504,-0.8481961,Whistle,0
7.82715,14.246599,9.090787,Whistle,0
-2.897648,-1.6825035,3.4644575,Whistle,0
-2.9140866,-1.6030581,3.715584,Whistle,0
6.7653522,13.357673,9.236652,Whistle,0
14.861071,4.175357,10.272151,Whistle,0
6.9846373,13.522749,9.2223215,Whistle,0
-2.8490129,-1.6541551,3.6000943,Whistle,0
14.653742,5.075444,10.081798,Whistle,0
3.3555255,9.562632,-0.8614198,Whistle,0
-1.582436,-1.9028488,8.147321,Whistle,0
-3.0074685,-1.9517441,3.1953616,Whistle,0
-2.3063414,-1.7348151,4.898792,Whistle,0
-1.5680133,-2.0577335,8.118926,Whistle,0
-2.1870928,-1.6055954,5.5087967,Whistle,0
-1.8586813,-1.8518637,8.212416,Whistle,0
-1.3121787,-1.8379681,9.30379,Whistle,0
-1.5440223,-2.1880927,9.708078,Whistle,0
-1.5906008,-1.2794611,5.942688,Whistle,0
-1.1068758,-1.6945088,9.707258,Whistle,0
-1.3694912,-2.4521136,9.620455,Whistle,0
-1.4973114,-2.1669343,8.678116,Whistle,0
-1.6146257,-2.0286405,8.4858465,Whistle,0
-2.0075426,-1.7686619,9.156202,Whistle,0
-1.5872283,-1.6881902,9.31917,Whistle,0
-1.9981035,-2.2142913,4.895472,Whistle,0
-1.4390243,-1.8006824,9.134951,Whistle,0
-1.8977379,-1.7605178,9.256615,Whistle,0
-1.3139151,-2.65838,9.316762,Whistle,0
-1.7066569,-1.8893613,7.7889447,Whistle,0
-1.1706599,-3.0048132,9.673065,Whistle,0
-1.3597469,-2.8247547,9.596864,Whistle,0
-2.3018284,-1.0509368,4.7064047,Whistle,0
-1.4589895,-1.957846,8.86445,Whistle,0
-2.0319338,-2.4632342,5.457179,Whistle,0
-1.5126668,-2.2906554,6.5530725,Whistle,0
-1.7748579,-1.2122666,6.9880548,Whistle,0
-1.3026994,-2.6235547,9.074499,Whistle,0
-1.3426287,-2.1898615,7.578542,Whistle,0
14.849694,4.098052,10.310627,Whistle,0
7.885345,14.295703,9.054328,Whistle,0
14.794893,4.6473527,10.1207075,Whistle,0
-3.449825,-1.8266882,2.0599296,Whistle,0
2.4251974,2.358607,3.4047759,Whistle,0
2.7785144,6.491707,-1.1680275,Whistle,0
3.6415117,12.449151,6.721921,Whistle,0
-2.6003485,-2.2325654,4.1204104,Whistle,0
14.865572,4.2156863,10.257288,Whistle,0
14.879353,4.2388997,10.248147,Whistle,0
2.1731079,10.879143,4.788906,Whistle,0
-2.6045284,-1.6612597,4.347635,Whistle,0
-2.4352202,-1.6701247,4.6189938,Whistle,0
2.7344294,6.5192666,-1.1727244,Whistle,0
-1.9224836,-2.0935287,5.546858,Whistle,0
14.601367,5.1419997,10.053912,Whistle,0
-2.3058577,-1.6367246,4.7818027,Whistle,0
-2.0252657,-1.9979484,5.334417,Whistle,0
-2.6716185,-1.4178039,4.1431565,Whistle,0
-2.1779964,-1.6770544,5.0869603,Whistle,0
-2.5743809,-2.142954,4.3915377,Whistle,0
-2.8213353,-1.7381332,3.8651545,Whistle,0
-2.9539077,-1.7471251,3.391617,Whistle,0
-3.1138015,-1.4141514,2.9636412,Whistle,0
-2.8181965,-1.6303334,3.5087419,Whistle,0
14.863058,4.297925,10.225547,Whistle,0
-2.8755887,-1.6750692,3.5988781,Whistle,0
-2.774429,-1.7125376,3.9972022,Whistle,0
-2.9970376,-1.813839,3.1669724,Whistle,0
-2.7562208,-1.754964,4.194828,Whistle,0
-2.8971772,-1.7324736,3.498006,Whistle,0
-2.7663045,-1.7001748,4.04106,Whistle,0
3.7347696,12.527815,6.803928,Whistle,0
-2.8068945,-1.6706244,3.951914,Whistle,0
-3.3815684,-1.8826958,2.2123685,Whistle,0
-3.1363442,-1.8392501,2.8731842,Whistle,0
-2.6350617,-1.4926559,4.1951914,Whistle,0
3.2388515,11.111739,-1.1929761,Whistle,0
-2.5302413,-1.8653722,7.6011534,Click,1
-2.0196576,-0.5900994,5.1491575,Click,1
-1.5335693,3.1684237,3.7830918,Click,1
-1.3747224,-2.7599277,5.7525773,Click,1
-1.9140946,-0.8057127,7.0675173,Click,1
-2.4569242,-1.6727942,7.6645994,Click,1
-2.643248,-0.92327684,6.1282063,Click,1
-2.0724978,-1.5897074,7.015274,Click,1
-1.1128956,-0.8495427,10.362568,Click,1
-2.1124306,-1.752046,7.673617,Click,1
-1.72214,-2.7489982,6.2460093,Click,1
-2.1220908,-1.2507645,7.9807715,Click,1
-2.5877843,-2.0657072,7.114086,Click,1
-2.2772813,-2.5895312,5.0394597,Click,1
